Start time UTC,End time UTC,Wind Turbine (MWh/h)
2023/1/19 12:00,2023/1/19 13:00,941
2023/1/19 13:00,2023/1/19 14:00,1064
2023/1/19 14:00,2023/1/19 15:00,1038
2023/1/19 15:00,2023/1/19 16:00,1014
2023/1/19 16:00,2023/1/19 17:00,1082
2023/1/19 17:00,2023/1/19 18:00,1097
2023/1/19 18:00,2023/1/19 19:00,1114
2023/1/19 19:00,2023/1/19 20:00,1129
2023/1/19 20:00,2023/1/19 21:00,1336
2023/1/19 21:00,2023/1/19 22:00,1699
2023/1/19 22:00,2023/1/19 23:00,1960
2023/1/19 23:00,2023/1/20 0:00,2043
2023/1/20 0:00,2023/1/20 1:00,1997
2023/1/20 1:00,2023/1/20 2:00,2039
2023/1/20 2:00,2023/1/20 3:00,2054
2023/1/20 3:00,2023/1/20 4:00,2111
2023/1/20 4:00,2023/1/20 5:00,2087
2023/1/20 5:00,2023/1/20 6:00,2124
2023/1/20 6:00,2023/1/20 7:00,2268
2023/1/20 7:00,2023/1/20 8:00,2188
2023/1/20 8:00,2023/1/20 9:00,2062
2023/1/20 9:00,2023/1/20 10:00,2124
2023/1/20 10:00,2023/1/20 11:00,2191
2023/1/20 11:00,2023/1/20 12:00,2239
2023/1/20 12:00,2023/1/20 13:00,2129
2023/1/20 13:00,2023/1/20 14:00,2245
2023/1/20 14:00,2023/1/20 15:00,2375
2023/1/20 15:00,2023/1/20 16:00,2412
2023/1/20 16:00,2023/1/20 17:00,2360
2023/1/20 17:00,2023/1/20 18:00,2331
2023/1/20 18:00,2023/1/20 19:00,2410
2023/1/20 19:00,2023/1/20 20:00,2551
2023/1/20 20:00,2023/1/20 21:00,2595
2023/1/20 21:00,2023/1/20 22:00,2795
2023/1/20 22:00,2023/1/20 23:00,2744
2023/1/20 23:00,2023/1/21 0:00,2598
2023/1/21 0:00,2023/1/21 1:00,2364
2023/1/21 1:00,2023/1/21 2:00,2156
2023/1/21 2:00,2023/1/21 3:00,1875
2023/1/21 3:00,2023/1/21 4:00,1855
2023/1/21 4:00,2023/1/21 5:00,1639
2023/1/21 5:00,2023/1/21 6:00,1451
2023/1/21 6:00,2023/1/21 7:00,1268
2023/1/21 7:00,2023/1/21 8:00,1286
2023/1/21 8:00,2023/1/21 9:00,1285
2023/1/21 9:00,2023/1/21 10:00,1204
2023/1/21 10:00,2023/1/21 11:00,924
2023/1/21 11:00,2023/1/21 12:00,745
2023/1/21 12:00,2023/1/21 13:00,721
2023/1/21 13:00,2023/1/21 14:00,711
2023/1/21 14:00,2023/1/21 15:00,638
2023/1/21 15:00,2023/1/21 16:00,549
2023/1/21 16:00,2023/1/21 17:00,596
2023/1/21 17:00,2023/1/21 18:00,591
2023/1/21 18:00,2023/1/21 19:00,587
2023/1/21 19:00,2023/1/21 20:00,620
2023/1/21 20:00,2023/1/21 21:00,633
2023/1/21 21:00,2023/1/21 22:00,701
2023/1/21 22:00,2023/1/21 23:00,708
2023/1/21 23:00,2023/1/22 0:00,791
2023/1/22 0:00,2023/1/22 1:00,815
2023/1/22 1:00,2023/1/22 2:00,841
2023/1/22 2:00,2023/1/22 3:00,829
2023/1/22 3:00,2023/1/22 4:00,877
2023/1/22 4:00,2023/1/22 5:00,930
2023/1/22 5:00,2023/1/22 6:00,975
2023/1/22 6:00,2023/1/22 7:00,981
2023/1/22 7:00,2023/1/22 8:00,1110
2023/1/22 8:00,2023/1/22 9:00,1191
2023/1/22 9:00,2023/1/22 10:00,1194
2023/1/22 10:00,2023/1/22 11:00,1163
2023/1/22 11:00,2023/1/22 12:00,1247
2023/1/22 12:00,2023/1/22 13:00,1331
2023/1/22 13:00,2023/1/22 14:00,1387
2023/1/22 14:00,2023/1/22 15:00,1519
2023/1/22 15:00,2023/1/22 16:00,1667
2023/1/22 16:00,2023/1/22 17:00,1859
2023/1/22 17:00,2023/1/22 18:00,1966
2023/1/22 18:00,2023/1/22 19:00,2106
2023/1/22 19:00,2023/1/22 20:00,2253
2023/1/22 20:00,2023/1/22 21:00,2431
2023/1/22 21:00,2023/1/22 22:00,2744
2023/1/22 22:00,2023/1/22 23:00,3152
2023/1/22 23:00,2023/1/23 0:00,3527
2023/1/23 0:00,2023/1/23 1:00,3635
2023/1/23 1:00,2023/1/23 2:00,3797
2023/1/23 2:00,2023/1/23 3:00,3897
2023/1/23 3:00,2023/1/23 4:00,3886
2023/1/23 4:00,2023/1/23 5:00,3899
2023/1/23 5:00,2023/1/23 6:00,3982
2023/1/23 6:00,2023/1/23 7:00,3979
2023/1/23 7:00,2023/1/23 8:00,3897
2023/1/23 8:00,2023/1/23 9:00,3830
2023/1/23 9:00,2023/1/23 10:00,3822
2023/1/23 10:00,2023/1/23 11:00,3779
2023/1/23 11:00,2023/1/23 12:00,3654
2023/1/23 12:00,2023/1/23 13:00,3444
2023/1/23 13:00,2023/1/23 14:00,3425
2023/1/23 14:00,2023/1/23 15:00,3374
2023/1/23 15:00,2023/1/23 16:00,3383
2023/1/23 16:00,2023/1/23 17:00,3359
2023/1/23 17:00,2023/1/23 18:00,3357
2023/1/23 18:00,2023/1/23 19:00,3370
2023/1/23 19:00,2023/1/23 20:00,3435
2023/1/23 20:00,2023/1/23 21:00,3519
2023/1/23 21:00,2023/1/23 22:00,3436
2023/1/23 22:00,2023/1/23 23:00,3448
2023/1/23 23:00,2023/1/24 0:00,3374
2023/1/24 0:00,2023/1/24 1:00,3306
2023/1/24 1:00,2023/1/24 2:00,3236
2023/1/24 2:00,2023/1/24 3:00,3012
2023/1/24 3:00,2023/1/24 4:00,2992
